File: ./hwmcc14/single/6s205b20.aig
11386 50.00       
11387 50.00       
11388 50.00       
11389 50.00       
11390 50.00       
11391 50.00       
11392 50.00       
11393 50.00       
11394 50.00       
11395 50.00       
11396 50.00       
11397 50.00       
11398 50.00       
11399 50.00       
11400 50.00       
11401 50.00       
11402 50.00       
11403 50.00       
11404 100.00      
11405 100.00      
11406 100.00      
11407 100.00      
11408 100.00      
11409 100.00      
11410 100.00      
11411 100.00      
11412 100.00      
11413 100.00      
11414 100.00      
11415 100.00      
11416 100.00      
11417 100.00      
11418 100.00      
11419 100.00      
11420 100.00      
11421 100.00      
11422 100.00      
11423 100.00      
11424 100.00      
11425 100.00      
11426 50.00       
11427 50.00       
11428 50.00       
11429 50.00       
11430 50.00       
11431 50.00       
11432 50.00       
11433 50.00       
11434 50.00       
11435 50.00       
11436 50.00       
11437 50.00       
11438 50.00       
11439 50.00       
11440 50.00       
11441 50.00       
11442 50.00       
11443 50.00       
11444 50.00       
11445 50.00       
11446 100.00      
11447 100.00      
11448 100.00      
11449 100.00      
11450 100.00      
11451 100.00      
11452 50.00       
11453 50.00       
11454 50.00       
11455 50.00       
11456 50.00       
11457 50.00       
11458 100.00      
11459 50.00       
11460 0.00        
11461 50.00       
11462 40.00       
11463 50.00       
11464 40.00       
11465 50.00       
11466 0.00        
11467 50.00       
11468 50.00       
11469 50.00       
11470 99.00       
11471 50.00       
11472 50.00       
11473 50.00       
11474 50.00       
11475 40.00       
11476 50.00       
11477 0.00        
11478 50.00       
11479 40.00       
11480 50.00       
11481 0.00        
11482 50.00       
11483 100.00      
11484 50.00       
11485 50.00       
11486 50.00       
11487 50.00       
11488 50.00       
11489 50.00       
11490 50.00       
11491 50.00       
11492 50.00       
11493 50.00       
11494 50.00       
11495 50.00       
11496 50.00       
11497 50.00       
11498 50.00       
11499 50.00       
11500 50.00       
11501 50.00       
11502 50.00       
11503 100.00      
11504 50.00       
11505 50.00       
11506 50.00       
11507 50.00       
11508 50.00       
11509 50.00       
11510 50.00       
11511 50.00       
11512 50.00       
11513 100.00      
11514 50.00       
11515 50.00       
11516 50.00       
11517 50.00       
11518 50.00       
11519 50.00       
11520 50.00       
11521 50.00       
11522 50.00       
11523 50.00       
11524 50.00       
11525 50.00       
11526 50.00       
11527 50.00       
11528 50.00       
11529 50.00       
11530 50.00       
11531 50.00       
11532 50.00       
11533 50.00       
11534 50.00       
11535 50.00       
11536 50.00       
11537 50.00       
11538 50.00       
11539 50.00       
11540 50.00       
11541 50.00       
11542 50.00       
11543 50.00       
11544 50.00       
11545 50.00       
11546 50.00       
11547 50.00       
11548 50.00       
11549 50.00       
11550 50.00       
11551 50.00       
11552 50.00       
11553 100.00      
11554 100.00      
11555 100.00      
11556 100.00      
11557 100.00      
11558 100.00      
11559 100.00      
11560 100.00      
11561 100.00      
11562 100.00      
11563 100.00      
11564 100.00      
11565 100.00      
11566 100.00      
11567 100.00      
11568 100.00      
11569 100.00      
11570 100.00      
11571 100.00      
11572 100.00      
11573 50.00       
11574 50.00       
11575 50.00       
11576 50.00       
11577 50.00       
11578 50.00       
11579 50.00       
11580 50.00       
11581 50.00       
11582 50.00       
11583 50.00       
11584 50.00       
11585 50.00       
11586 50.00       
11587 50.00       
11588 100.00      
11589 50.00       
11590 50.00       
11591 50.00       
11592 50.00       
11593 50.00       
11594 50.00       
11595 50.00       
11596 50.00       
11597 50.00       
11598 50.00       
11599 50.00       
11600 50.00       
11601 50.00       
11602 50.00       
11603 50.00       
11604 50.00       
11605 50.00       
11606 50.00       
11607 50.00       
11608 50.00       
11609 50.00       
11610 50.00       
11611 50.00       
11612 50.00       
11613 50.00       
11614 50.00       
11615 50.00       
11616 50.00       
11617 50.00       
11618 0.00        
11619 50.00       
11620 0.00        
11621 50.00       
11622 50.00       
11623 50.00       
11624 50.00       
11625 50.00       
11626 50.00       
11627 0.00        
11628 0.00        
11629 50.00       
11630 0.00        
11631 50.00       
11632 0.00        
11633 50.00       
11634 0.00        
11635 50.00       
11636 50.00       
11637 50.00       
11638 50.00       
11639 50.00       
11640 50.00       
11641 0.00        
11642 0.00        
11643 50.00       
11644 0.00        
11645 50.00       
11646 50.00       
11647 50.00       
11648 50.00       
11649 50.00       
11650 50.00       
11651 50.00       
11652 50.00       
11653 50.00       
11654 50.00       
11655 50.00       
11656 50.00       
11657 50.00       
11658 50.00       
11659 50.00       
11660 50.00       
11661 50.00       
11662 50.00       
11663 50.00       
11664 50.00       
11665 50.00       
11666 50.00       
11667 50.00       
11668 50.00       
11669 50.00       
11670 50.00       
11671 50.00       
11672 50.00       
11673 100.00      
11674 50.00       
11675 50.00       
11676 50.00       
11677 50.00       
11678 50.00       
11679 50.00       
11680 50.00       
11681 50.00       
11682 50.00       
11683 50.00       
11684 50.00       
11685 50.00       
11686 50.00       
11687 50.00       
11688 50.00       
11689 50.00       
11690 50.00       
11691 50.00       
11692 50.00       
11693 50.00       
11694 50.00       
11695 50.00       
11696 50.00       
11697 50.00       
11698 50.00       
11699 50.00       
11700 50.00       
11701 50.00       
11702 50.00       
11703 50.00       
11704 50.00       
11705 50.00       
11706 50.00       
11707 50.00       
11708 50.00       
11709 50.00       
11710 50.00       
11711 50.00       
11712 50.00       
11713 50.00       
11714 100.00      
11715 50.00       
11716 50.00       
11717 50.00       
11718 50.00       
11719 50.00       
11720 50.00       
11721 50.00       
11722 50.00       
11723 50.00       
11724 50.00       
11725 50.00       
11726 50.00       
11727 50.00       
11728 50.00       
11729 50.00       
11730 50.00       
11731 50.00       
11732 50.00       
11733 50.00       
11734 50.00       
11735 50.00       
11736 50.00       
11737 50.00       
11738 50.00       
11739 50.00       
11740 50.00       
11741 50.00       
11742 50.00       
11743 50.00       
11744 50.00       
11745 50.00       
11746 50.00       
11747 50.00       
11748 50.00       
11749 50.00       
11750 50.00       
11751 50.00       
11752 50.00       
11753 50.00       
11754 50.00       
11755 100.00      
11756 50.00       
11757 50.00       
11758 50.00       
11759 50.00       
11760 50.00       
11761 50.00       
11762 50.00       
11763 50.00       
11764 50.00       
11765 50.00       
11766 50.00       
11767 50.00       
11768 50.00       
11769 50.00       
11770 50.00       
11771 50.00       
11772 50.00       
11773 50.00       
11774 50.00       
11775 50.00       
11776 50.00       
11777 50.00       
11778 50.00       
11779 50.00       
11780 50.00       
11781 50.00       
11782 50.00       
11783 50.00       
11784 50.00       
11785 50.00       
11786 50.00       
11787 50.00       
11788 50.00       
11789 50.00       
11790 50.00       
11791 50.00       
11792 50.00       
11793 50.00       
11794 50.00       
11795 50.00       
11796 50.00       
11797 50.00       
11798 50.00       
11799 50.00       
11800 50.00       
11801 50.00       
11802 50.00       
11803 50.00       
11804 50.00       
11805 50.00       
11806 50.00       
11807 50.00       
11808 50.00       
11809 50.00       
11810 50.00       
11811 50.00       
11812 50.00       
11813 50.00       
11814 50.00       
11815 50.00       
11816 50.00       
11817 50.00       
11818 50.00       
11819 50.00       
11820 50.00       
11821 50.00       
11822 50.00       
11823 50.00       
11824 50.00       
11825 50.00       
11826 50.00       
11827 50.00       
11828 50.00       
11829 50.00       
11830 50.00       
11831 100.00      
11832 50.00       
11833 50.00       
11834 50.00       
11835 50.00       
11836 50.00       
11837 50.00       
11838 50.00       
11839 50.00       
11840 50.00       
11841 50.00       
11842 50.00       
11843 50.00       
11844 50.00       
11845 50.00       
11846 50.00       
11847 50.00       
11848 50.00       
11849 50.00       
11850 50.00       
11851 50.00       
11852 50.00       
11853 50.00       
11854 50.00       
11855 50.00       
11856 50.00       
11857 50.00       
11858 50.00       
11859 50.00       
11860 50.00       
11861 50.00       
11862 50.00       
11863 50.00       
11864 50.00       
11865 50.00       
11866 50.00       
11867 50.00       
11868 50.00       
11869 50.00       
11870 50.00       
11871 50.00       
11872 100.00      
11873 50.00       
11874 50.00       
11875 50.00       
11876 50.00       
11877 50.00       
11878 50.00       
11879 50.00       
11880 50.00       
11881 50.00       
11882 50.00       
11883 50.00       
11884 50.00       
11885 50.00       
11886 50.00       
11887 50.00       
11888 50.00       
11889 50.00       
11890 50.00       
11891 50.00       
11892 50.00       
11893 50.00       
11894 50.00       
11895 50.00       
11896 50.00       
11897 50.00       
11898 50.00       
11899 50.00       
11900 50.00       
11901 50.00       
11902 50.00       
11903 50.00       
11904 50.00       
11905 50.00       
11906 50.00       
11907 50.00       
11908 50.00       
11909 50.00       
11910 50.00       
11911 50.00       
11912 50.00       
11913 50.00       
11914 50.00       
11915 50.00       
11916 50.00       
11917 50.00       
11918 50.00       
11919 50.00       
11920 50.00       
11921 50.00       
11922 50.00       
11923 50.00       
11924 50.00       
11925 50.00       
11926 50.00       
11927 50.00       
11928 50.00       
11929 50.00       
11930 50.00       
11931 50.00       
11932 50.00       
11933 50.00       
11934 50.00       
11935 50.00       
11936 50.00       
11937 50.00       
11938 0.00        
11939 50.00       
11940 60.00       
11941 50.00       
11942 50.00       
11943 50.00       
11944 100.00      
11945 100.00      
11946 100.00      
11947 100.00      
11948 100.00      
11949 100.00      
11950 100.00      
11951 100.00      
11952 100.00      
11953 100.00      
11954 100.00      
11955 100.00      
11956 100.00      
11957 100.00      
11958 100.00      
11959 100.00      
11960 50.00       
11961 50.00       
11962 50.00       
11963 50.00       
11964 50.00       
11965 50.00       
11966 50.00       
11967 50.00       
11968 50.00       
11969 50.00       
11970 50.00       
11971 50.00       
11972 50.00       
11973 50.00       
11974 50.00       
11975 50.00       
11976 50.00       
11977 50.00       
11978 50.00       
11979 50.00       
11980 50.00       
11981 50.00       
11982 50.00       
11983 50.00       
11984 50.00       
11985 50.00       
11986 50.00       
11987 50.00       
11988 50.00       
11989 50.00       
11990 50.00       
11991 50.00       
11992 50.00       
11993 50.00       
11994 50.00       
11995 50.00       
11996 50.00       
11997 50.00       
11998 50.00       
11999 50.00       
12000 50.00       
12001 50.00       
12002 50.00       
12003 50.00       
12004 50.00       
12005 50.00       
12006 50.00       
12007 50.00       
12008 50.00       
12009 50.00       
12010 50.00       
12011 50.00       
12012 50.00       
12013 50.00       
12014 50.00       
12015 50.00       
12016 50.00       
12017 50.00       
12018 50.00       
12019 50.00       
12020 50.00       
12021 50.00       
12022 50.00       
12023 50.00       
12024 50.00       
12025 50.00       
12026 50.00       
12027 50.00       
12028 50.00       
12029 50.00       
12030 50.00       
12031 50.00       
12032 50.00       
12033 50.00       
12034 50.00       
12035 50.00       
12036 50.00       
12037 50.00       
12038 50.00       
12039 50.00       
12040 50.00       
12041 50.00       
12042 50.00       
12043 50.00       
12044 50.00       
12045 50.00       
12046 50.00       
12047 50.00       
12048 50.00       
12049 50.00       
12050 50.00       
12051 50.00       
12052 50.00       
12053 50.00       
12054 50.00       
12055 50.00       
12056 50.00       
12057 50.00       
12058 50.00       
12059 50.00       
12060 50.00       
12061 50.00       
12062 50.00       
12063 50.00       
12064 50.00       
12065 50.00       
12066 50.00       
12067 50.00       
12068 50.00       
12069 50.00       
12070 50.00       
12071 50.00       
12072 50.00       
12073 50.00       
12074 50.00       
12075 50.00       
12076 50.00       
12077 50.00       
12078 50.00       
12079 50.00       
12080 50.00       
12081 50.00       
12082 50.00       
12083 50.00       
12084 50.00       
12085 50.00       
12086 50.00       
12087 50.00       
12088 50.00       
12089 50.00       
12090 50.00       
12091 50.00       
12092 50.00       
12093 50.00       
12094 50.00       
12095 50.00       
12096 50.00       
12097 50.00       
12098 50.00       
12099 50.00       
12100 50.00       
12101 50.00       
12102 50.00       
12103 50.00       
12104 50.00       
12105 50.00       
12106 50.00       
12107 50.00       
12108 50.00       
12109 50.00       
12110 50.00       
12111 50.00       
12112 50.00       
12113 50.00       
12114 50.00       
12115 50.00       
12116 50.00       
12117 50.00       
12118 50.00       
12119 50.00       
12120 50.00       
12121 50.00       
12122 50.00       
12123 50.00       
12124 50.00       
12125 50.00       
12126 50.00       
12127 50.00       
12128 50.00       
12129 50.00       
12130 50.00       
12131 50.00       
12132 50.00       
12133 50.00       
12134 50.00       
12135 50.00       
12136 50.00       
12137 50.00       
12138 50.00       
12139 50.00       
12140 50.00       
12141 50.00       
12142 50.00       
12143 50.00       
12144 50.00       
12145 50.00       
12146 50.00       
12147 50.00       
12148 50.00       
12149 50.00       
12150 50.00       
12151 50.00       
12152 50.00       
12153 50.00       
12154 50.00       
12155 50.00       
12156 50.00       
12157 50.00       
12158 50.00       
12159 50.00       
12160 50.00       
12161 50.00       
12162 50.00       
12163 50.00       
12164 50.00       
12165 50.00       
12166 50.00       
12167 50.00       
12168 50.00       
12169 50.00       
12170 50.00       
12171 50.00       
12172 50.00       
12173 50.00       
12174 50.00       
12175 50.00       
12176 50.00       
12177 50.00       
12178 50.00       
12179 50.00       
12180 50.00       
12181 50.00       
12182 50.00       
12183 50.00       
12184 50.00       
12185 50.00       
12186 50.00       
12187 50.00       
12188 50.00       
12189 50.00       
12190 50.00       
12191 50.00       
12192 50.00       
12193 50.00       
12194 50.00       
12195 50.00       
12196 50.00       
12197 50.00       
12198 50.00       
12199 50.00       
12200 50.00       
12201 50.00       
12202 50.00       
12203 50.00       
12204 50.00       
12205 50.00       
12206 50.00       
12207 50.00       
12208 50.00       
12209 50.00       
12210 50.00       
12211 50.00       
12212 50.00       
12213 50.00       
12214 50.00       
12215 50.00       
12216 50.00       
12217 50.00       
12218 50.00       
12219 50.00       
12220 50.00       
12221 50.00       
12222 50.00       
12223 50.00       
12224 50.00       
12225 50.00       
12226 50.00       
12227 50.00       
12228 50.00       
12229 50.00       
12230 50.00       
12231 50.00       
12232 50.00       
12233 50.00       
12234 50.00       
12235 50.00       
12236 50.00       
12237 50.00       
12238 50.00       
12239 50.00       
12240 50.00       
12241 50.00       
12242 50.00       
12243 50.00       
12244 50.00       
12245 50.00       
12246 50.00       
12247 50.00       
12248 50.00       
12249 50.00       
12250 50.00       
12251 50.00       
12252 50.00       
12253 50.00       
12254 50.00       
12255 50.00       
12256 50.00       
12257 50.00       
12258 50.00       
12259 50.00       
12260 50.00       
12261 50.00       
12262 50.00       
12263 50.00       
12264 50.00       
12265 50.00       
12266 50.00       
12267 50.00       
12268 50.00       
12269 50.00       
12270 50.00       
12271 50.00       
12272 50.00       
12273 50.00       
12274 50.00       
12275 50.00       
12276 50.00       
12277 50.00       
12278 50.00       
12279 50.00       
12280 50.00       
12281 50.00       
12282 50.00       
12283 50.00       
12284 50.00       
12285 50.00       
12286 50.00       
12287 50.00       
12288 50.00       
12289 50.00       
12290 50.00       
12291 50.00       
12292 50.00       
12293 50.00       
12294 50.00       
12295 50.00       
12296 50.00       
12297 50.00       
12298 50.00       
12299 50.00       
12300 50.00       
12301 50.00       
12302 50.00       
12303 50.00       
12304 50.00       
12305 50.00       
12306 50.00       
12307 50.00       
12308 50.00       
12309 50.00       
12310 50.00       
12311 50.00       
12312 50.00       
12313 50.00       
12314 50.00       
12315 50.00       
12316 50.00       
12317 50.00       
12318 50.00       
12319 50.00       
12320 50.00       
12321 50.00       
12322 50.00       
12323 50.00       
12324 50.00       
12325 50.00       
12326 50.00       
12327 50.00       
12328 50.00       
12329 50.00       
12330 50.00       
12331 50.00       
12332 50.00       
12333 50.00       
12334 50.00       
12335 50.00       
12336 50.00       
12337 50.00       
12338 50.00       
12339 50.00       
12340 50.00       
12341 50.00       
12342 50.00       
12343 50.00       
12344 50.00       
12345 50.00       
12346 50.00       
12347 50.00       
12348 50.00       
12349 50.00       
12350 50.00       
12351 50.00       
12352 50.00       
12353 50.00       
12354 50.00       
12355 50.00       
12356 50.00       
12357 50.00       
12358 50.00       
12359 50.00       
12360 50.00       
12361 50.00       
12362 50.00       
12363 50.00       
12364 50.00       
12365 50.00       
12366 50.00       
12367 50.00       
12368 50.00       
12369 50.00       
12370 50.00       
12371 50.00       
12372 50.00       
12373 50.00       
12374 50.00       
12375 50.00       
12376 50.00       
12377 50.00       
12378 50.00       
12379 50.00       
12380 50.00       
12381 50.00       
12382 50.00       
12383 50.00       
12384 50.00       
12385 50.00       
12386 50.00       
12387 50.00       
12388 50.00       
12389 50.00       
12390 50.00       
12391 50.00       
12392 50.00       
12393 50.00       
12394 50.00       
12395 50.00       
12396 50.00       
12397 50.00       
12398 50.00       
12399 50.00       
12400 50.00       
12401 50.00       
12402 50.00       
12403 50.00       
12404 50.00       
12405 50.00       
12406 50.00       
12407 50.00       
12408 50.00       
12409 50.00       
12410 50.00       
12411 50.00       
12412 50.00       
12413 50.00       
12414 50.00       
12415 50.00       
12416 50.00       
12417 50.00       
12418 50.00       
12419 50.00       
12420 50.00       
12421 50.00       
12422 50.00       
12423 50.00       
12424 50.00       
12425 50.00       
12426 50.00       
12427 50.00       
12428 50.00       
12429 50.00       
12430 50.00       
12431 50.00       
12432 50.00       
12433 50.00       
12434 50.00       
12435 50.00       
12436 50.00       
12437 50.00       
12438 50.00       
12439 50.00       
12440 50.00       
12441 50.00       
12442 50.00       
12443 50.00       
12444 50.00       
12445 50.00       
12446 50.00       
12447 50.00       
12448 50.00       
12449 50.00       
12450 50.00       
12451 50.00       
12452 50.00       
12453 50.00       
12454 50.00       
12455 50.00       
12456 50.00       
12457 50.00       
12458 50.00       
12459 50.00       
12460 50.00       
12461 50.00       
12462 50.00       
12463 50.00       
12464 50.00       
12465 50.00       
12466 50.00       
12467 50.00       
12468 50.00       
12469 50.00       
12470 50.00       
12471 50.00       
12472 50.00       
12473 50.00       
12474 50.00       
12475 50.00       
12476 50.00       
12477 50.00       
12478 50.00       
12479 50.00       
12480 50.00       
12481 50.00       
12482 50.00       
12483 50.00       
12484 50.00       
12485 50.00       
12486 50.00       
12487 50.00       
12488 50.00       
12489 50.00       
12490 50.00       
12491 50.00       
12492 50.00       
12493 50.00       
12494 50.00       
12495 50.00       
12496 50.00       
12497 50.00       
12498 50.00       
12499 50.00       
12500 50.00       
12501 50.00       
12502 50.00       
12503 50.00       
12504 50.00       
12505 50.00       
12506 50.00       
12507 50.00       
12508 50.00       
12509 50.00       
12510 50.00       
12511 50.00       
12512 50.00       
12513 50.00       
12514 50.00       
12515 50.00       
12516 50.00       
12517 50.00       
12518 50.00       
12519 50.00       
12520 50.00       
12521 50.00       
12522 50.00       
12523 50.00       
12524 50.00       
12525 50.00       
12526 50.00       
12527 50.00       
12528 50.00       
12529 50.00       
12530 50.00       
12531 50.00       
12532 50.00       
12533 50.00       
12534 50.00       
12535 50.00       
12536 50.00       
12537 50.00       
12538 50.00       
12539 50.00       
12540 50.00       
12541 50.00       
12542 50.00       
12543 50.00       
12544 50.00       
12545 50.00       
12546 50.00       
12547 50.00       
12548 50.00       
12549 50.00       
12550 50.00       
12551 50.00       
12552 50.00       
12553 50.00       
12554 50.00       
12555 50.00       
12556 50.00       
12557 50.00       
12558 50.00       
12559 50.00       
12560 50.00       
12561 50.00       
12562 50.00       
12563 50.00       
12564 50.00       
12565 50.00       
12566 50.00       
12567 50.00       
12568 50.00       
12569 50.00       
12570 50.00       
12571 50.00       
12572 50.00       
12573 50.00       
12574 50.00       
12575 50.00       
12576 50.00       
12577 50.00       
12578 50.00       
12579 50.00       
12580 50.00       
12581 50.00       
12582 50.00       
12583 50.00       
12584 50.00       
12585 50.00       
12586 50.00       
12587 50.00       
12588 50.00       
12589 50.00       
12590 50.00       
12591 50.00       
12592 50.00       
12593 50.00       
12594 50.00       
12595 50.00       
12596 50.00       
12597 50.00       
12598 50.00       
12599 50.00       
12600 50.00       
12601 50.00       
12602 50.00       
12603 50.00       
12604 50.00       
12605 50.00       
12606 50.00       
12607 50.00       
12608 50.00       
12609 50.00       
12610 50.00       
12611 50.00       
12612 50.00       
12613 50.00       
12614 50.00       
12615 50.00       
12616 50.00       
12617 50.00       
12618 50.00       
12619 50.00       
12620 50.00       
12621 50.00       
12622 50.00       
12623 50.00       
12624 50.00       
12625 50.00       
12626 50.00       
12627 50.00       
12628 50.00       
12629 50.00       
12630 50.00       
12631 50.00       
12632 50.00       
12633 50.00       
12634 50.00       
12635 50.00       
12636 50.00       
12637 50.00       
12638 50.00       
12639 50.00       
12640 50.00       
12641 50.00       
12642 50.00       
12643 50.00       
12644 50.00       
12645 50.00       
12646 50.00       
12647 50.00       
12648 50.00       
12649 50.00       
12650 50.00       
12651 50.00       
12652 50.00       
12653 50.00       
12654 50.00       
12655 50.00       
12656 50.00       
12657 50.00       
12658 50.00       
12659 50.00       
12660 50.00       
12661 50.00       
12662 50.00       
12663 50.00       
12664 50.00       
12665 50.00       
12666 50.00       
12667 50.00       
12668 50.00       
12669 50.00       
12670 50.00       
12671 50.00       
12672 50.00       
12673 50.00       
12674 50.00       
12675 50.00       
12676 50.00       
12677 50.00       
12678 50.00       
12679 50.00       
12680 50.00       
12681 50.00       
12682 50.00       
12683 50.00       
12684 50.00       
12685 50.00       
12686 50.00       
12687 50.00       
12688 50.00       
12689 50.00       
12690 50.00       
12691 50.00       
12692 50.00       
12693 50.00       
12694 50.00       
12695 50.00       
12696 50.00       
12697 50.00       
12698 50.00       
12699 50.00       
12700 50.00       
12701 50.00       
12702 50.00       
12703 50.00       
12704 50.00       
12705 50.00       
12706 50.00       
12707 50.00       
12708 50.00       
12709 50.00       
12710 50.00       
12711 50.00       
12712 50.00       
12713 50.00       
12714 50.00       
12715 50.00       
12716 50.00       
12717 50.00       
12718 50.00       
12719 50.00       
12720 50.00       
12721 50.00       
12722 50.00       
12723 50.00       
12724 50.00       
12725 50.00       
12726 50.00       
12727 50.00       
12728 50.00       
12729 50.00       
12730 50.00       
12731 50.00       
12732 50.00       
12733 50.00       
12734 50.00       
12735 50.00       
12736 50.00       
12737 50.00       
12738 50.00       
12739 50.00       
12740 50.00       
12741 50.00       
12742 50.00       
12743 50.00       
12744 50.00       
12745 50.00       
12746 50.00       
12747 50.00       
12748 50.00       
12749 50.00       
12750 50.00       
12751 50.00       
12752 50.00       
12753 50.00       
12754 50.00       
12755 50.00       
12756 50.00       
12757 50.00       
12758 50.00       
12759 50.00       
12760 50.00       
12761 50.00       
12762 50.00       
12763 50.00       
12764 50.00       
12765 50.00       
12766 50.00       
12767 50.00       
12768 50.00       
12769 50.00       
12770 50.00       
12771 50.00       
12772 50.00       
12773 50.00       
12774 50.00       
12775 50.00       
12776 50.00       
12777 50.00       
12778 50.00       
12779 50.00       
12780 50.00       
12781 50.00       
12782 50.00       
12783 50.00       
12784 50.00       
12785 50.00       
12786 50.00       
12787 50.00       
12788 50.00       
12789 50.00       
12790 50.00       
12791 50.00       
12792 50.00       
12793 50.00       
12794 50.00       
12795 50.00       
12796 50.00       
12797 50.00       
12798 50.00       
12799 50.00       
12800 50.00       
12801 50.00       
12802 50.00       
12803 50.00       
12804 50.00       
12805 50.00       
12806 50.00       
12807 50.00       
12808 50.00       
12809 50.00       
12810 50.00       
12811 50.00       
12812 50.00       
12813 50.00       
12814 50.00       
12815 50.00       
12816 50.00       
12817 50.00       
12818 50.00       
12819 50.00       
12820 50.00       
12821 50.00       
12822 50.00       
12823 50.00       
12824 50.00       
12825 50.00       
12826 50.00       
12827 50.00       
12828 50.00       
12829 50.00       
12830 50.00       
12831 0.00        
12832 48.00       
12833 0.00        
12834 0.00        
12835 0.00        
12836 0.00        
12837 0.00        
12838 0.00        
12839 0.00        
12840 0.00        
12841 0.00        
12842 0.00        
12843 0.00        
12844 0.00        
12845 0.00        
12846 0.00        
12847 0.00        
12848 0.00        
12849 0.00        
12850 0.00        
12851 0.00        
12852 0.00        
12853 0.00        
12854 0.00        
12855 0.00        
12856 0.00        
12857 100.00      
12858 48.00       
12859 0.00        
12860 0.00        
12861 0.00        
12862 0.00        
12863 0.00        
12864 0.00        
12865 0.00        
12866 0.00        
12867 0.00        
12868 0.00        
12869 0.00        
12870 0.00        
12871 0.00        
12872 0.00        
12873 0.00        
12874 0.00        
12875 0.00        
12876 0.00        
12877 0.00        
12878 0.00        
12879 0.00        
12880 0.00        
12881 0.00        
12882 0.00        
12883 0.00        
12884 0.00        
12885 99.00       
12886 100.00      
12887 99.00       
12888 52.00       
12889 87.00       
12890 92.00       
12891 0.00        
12892 0.00        
12893 0.00        
12894 0.00        
12895 51.00       
12896 53.00       
12897 50.00       
12898 50.00       
12899 53.00       
12900 53.00       
12901 53.00       
12902 49.00       
12903 0.00        
12904 0.00        
12905 0.00        
12906 0.00        
12907 0.00        
12908 0.00        
12909 53.00       
12910 55.00       
12911 53.00       
12912 55.00       
12913 0.00        
12914 0.00        
12915 0.00        
12916 0.00        
12917 0.00        
12918 0.00        
12919 0.00        
12920 0.00        
12921 9.00        
12922 8.00        
12923 0.00        
12924 0.00        
12925 49.00       
12926 51.00       
12927 0.00        
12928 0.00        
12929 51.00       
12930 50.00       
12931 61.00       
12932 61.00       
12933 63.00       
12934 61.00       
12935 64.00       
12936 64.00       
12937 64.00       
12938 64.00       
12939 66.00       
12940 66.00       
12941 65.00       
